CountyID,CountyName,ReferralYear,Rate
1,Adair,2007,1.61
1,Adair,2008,2.69
1,Adair,2009,3.23
1,Adair,2010,2.42
1,Adair,2011,2.69
1,Adair,2012,1.88
2,Alfalfa,2007,1.36
2,Alfalfa,2008,0
2,Alfalfa,2009,5.46
2,Alfalfa,2010,1.36
2,Alfalfa,2011,0
2,Alfalfa,2012,4.09
3,Atoka,2007,1.41
3,Atoka,2008,1.06
3,Atoka,2009,0.35
3,Atoka,2010,0
3,Atoka,2011,2.12
3,Atoka,2012,1.76
4,Beaver,2007,
4,Beaver,2008,
4,Beaver,2009,
4,Beaver,2010,
4,Beaver,2011,
4,Beaver,2012,
5,Beckham,2007,1.56
5,Beckham,2008,1.17
5,Beckham,2009,1.56
5,Beckham,2010,3.9
5,Beckham,2011,3.12
5,Beckham,2012,1.56
6,Blaine,2007,4.07
6,Blaine,2008,2.44
6,Blaine,2009,3.25
6,Blaine,2010,3.25
6,Blaine,2011,4.88
6,Blaine,2012,2.44
7,Bryan,2007,2.14
7,Bryan,2008,0.71
7,Bryan,2009,1.07
7,Bryan,2010,1.79
7,Bryan,2011,2.14
7,Bryan,2012,5.72
8,Caddo,2007,1.55
8,Caddo,2008,6.82
8,Caddo,2009,6.51
8,Caddo,2010,2.48
8,Caddo,2011,4.65
8,Caddo,2012,4.34
9,Canadian,2007,2.6
9,Canadian,2008,1.93
9,Canadian,2009,1.51
9,Canadian,2010,1.76
9,Canadian,2011,1.68
9,Canadian,2012,2.1
10,Carter,2007,5.66
10,Carter,2008,3.44
10,Carter,2009,4.65
10,Carter,2010,3.44
10,Carter,2011,2.83
10,Carter,2012,7.08
11,Cherokee,2007,3.31
11,Cherokee,2008,1.74
11,Cherokee,2009,1.22
11,Cherokee,2010,2.09
11,Cherokee,2011,2.62
11,Cherokee,2012,3.14
12,Choctaw,2007,4.85
12,Choctaw,2008,2.08
12,Choctaw,2009,3.46
12,Choctaw,2010,2.77
12,Choctaw,2011,3.46
12,Choctaw,2012,1.39
13,Cimarron,2007,0
13,Cimarron,2008,0
13,Cimarron,2009,0
13,Cimarron,2010,0
13,Cimarron,2011,0
13,Cimarron,2012,4.48
14,Cleveland,2007,2.53
14,Cleveland,2008,1.86
14,Cleveland,2009,2.34
14,Cleveland,2010,2
14,Cleveland,2011,1.95
14,Cleveland,2012,2.05
15,Coal,2007,3.41
15,Coal,2008,3.41
15,Coal,2009,1.7
15,Coal,2010,1.7
15,Coal,2011,0
15,Coal,2012,1.7
16,Comanche,2007,1.82
16,Comanche,2008,3.73
16,Comanche,2009,3.47
16,Comanche,2010,2.69
16,Comanche,2011,3.12
16,Comanche,2012,2.51
17,Cotton,2007,9.35
17,Cotton,2008,0
17,Cotton,2009,4.01
17,Cotton,2010,1.34
17,Cotton,2011,2.67
17,Cotton,2012,0
18,Craig,2007,1.77
18,Craig,2008,2.66
18,Craig,2009,0.89
18,Craig,2010,3.55
18,Craig,2011,0.44
18,Craig,2012,3.55
19,Creek,2007,2.65
19,Creek,2008,3.98
19,Creek,2009,2.5
19,Creek,2010,4.57
19,Creek,2011,2.5
19,Creek,2012,3.68
20,Custer,2007,2.8
20,Custer,2008,5.2
20,Custer,2009,2
20,Custer,2010,4
20,Custer,2011,1.6
20,Custer,2012,2.8
21,Delaware,2007,1.5
21,Delaware,2008,0.6
21,Delaware,2009,0.75
21,Delaware,2010,1.2
21,Delaware,2011,1.65
21,Delaware,2012,1.5
22,Dewey,2007,5.88
22,Dewey,2008,1.96
22,Dewey,2009,1.96
22,Dewey,2010,0
22,Dewey,2011,0
22,Dewey,2012,5.88
23,Ellis,2007,0
23,Ellis,2008,2.17
23,Ellis,2009,0
23,Ellis,2010,2.17
23,Ellis,2011,6.51
23,Ellis,2012,0
24,Garfield,2007,1.9
24,Garfield,2008,1.14
24,Garfield,2009,3.04
24,Garfield,2010,2.66
24,Garfield,2011,3.04
24,Garfield,2012,4.93
25,Garvin,2007,2.12
25,Garvin,2008,2.91
25,Garvin,2009,2.65
25,Garvin,2010,1.85
25,Garvin,2011,2.12
25,Garvin,2012,2.65
26,Grady,2007,2.42
26,Grady,2008,3.33
26,Grady,2009,2.12
26,Grady,2010,3.63
26,Grady,2011,3.33
26,Grady,2012,4.84
27,Grant,2007,3.34
27,Grant,2008,0
27,Grant,2009,3.34
27,Grant,2010,0
27,Grant,2011,6.69
27,Grant,2012,6.69
28,Greer,2007,5.99
28,Greer,2008,1.5
28,Greer,2009,2.99
28,Greer,2010,5.99
28,Greer,2011,1.5
28,Greer,2012,1.5
29,Harmon,2007,
29,Harmon,2008,
29,Harmon,2009,
29,Harmon,2010,
29,Harmon,2011,
29,Harmon,2012,
30,Harper,2007,
30,Harper,2008,
30,Harper,2009,
30,Harper,2010,
30,Harper,2011,
30,Harper,2012,
31,Haskell,2007,2.03
31,Haskell,2008,4.07
31,Haskell,2009,1.02
31,Haskell,2010,1.02
31,Haskell,2011,0
31,Haskell,2012,1.02
32,Hughes,2007,3.36
32,Hughes,2008,1.92
32,Hughes,2009,1.92
32,Hughes,2010,4.31
32,Hughes,2011,5.75
32,Hughes,2012,5.75
33,Jackson,2007,2.21
33,Jackson,2008,3.04
33,Jackson,2009,1.93
33,Jackson,2010,2.21
33,Jackson,2011,2.76
33,Jackson,2012,1.66
34,Jefferson,2007,1.68
34,Jefferson,2008,3.36
34,Jefferson,2009,8.4
34,Jefferson,2010,5.04
34,Jefferson,2011,1.68
34,Jefferson,2012,8.4
35,Johnston,2007,2.11
35,Johnston,2008,0.7
35,Johnston,2009,1.4
35,Johnston,2010,2.81
35,Johnston,2011,0.7
35,Johnston,2012,2.81
36,Kay,2007,0.9
36,Kay,2008,1.8
36,Kay,2009,1.35
36,Kay,2010,1.35
36,Kay,2011,2.1
36,Kay,2012,2.1
37,Kingfisher,2007,0.55
37,Kingfisher,2008,2.2
37,Kingfisher,2009,4.4
37,Kingfisher,2010,1.1
37,Kingfisher,2011,2.2
37,Kingfisher,2012,4.4
38,Kiowa,2007,0.98
38,Kiowa,2008,1.96
38,Kiowa,2009,5.88
38,Kiowa,2010,0.98
38,Kiowa,2011,10.78
38,Kiowa,2012,6.86
39,Latimer,2007,2.1
39,Latimer,2008,2.1
39,Latimer,2009,0
39,Latimer,2010,1.4
39,Latimer,2011,2.1
39,Latimer,2012,0.7
40,Le flore,2007,0.69
40,Le flore,2008,0.55
40,Le flore,2009,0.55
40,Le flore,2010,0.14
40,Le flore,2011,0.41
40,Le flore,2012,0.28
41,Lincoln,2007,2.97
41,Lincoln,2008,1.62
41,Lincoln,2009,1.89
41,Lincoln,2010,2.97
41,Lincoln,2011,4.32
41,Lincoln,2012,3.78
42,Logan,2007,0.37
42,Logan,2008,2.22
42,Logan,2009,1.3
42,Logan,2010,1.3
42,Logan,2011,0.74
42,Logan,2012,2.22
43,Love,2007,1.05
43,Love,2008,0
43,Love,2009,2.1
43,Love,2010,1.05
43,Love,2011,1.05
43,Love,2012,2.1
44,McClain,2007,2.23
44,McClain,2008,1.86
44,McClain,2009,0.74
44,McClain,2010,4.83
44,McClain,2011,2.6
44,McClain,2012,4.46
45,McCurtain,2007,2.28
45,McCurtain,2008,0.57
45,McCurtain,2009,0.57
45,McCurtain,2010,0.28
45,McCurtain,2011,0.57
45,McCurtain,2012,1.42
46,McIntosh,2007,4.65
46,McIntosh,2008,5.23
46,McIntosh,2009,4.65
46,McIntosh,2010,2.32
46,McIntosh,2011,1.74
46,McIntosh,2012,2.91
47,Major,2007,4.42
47,Major,2008,2.21
47,Major,2009,2.21
47,Major,2010,0
47,Major,2011,0
47,Major,2012,0
48,Marshall,2007,2.73
48,Marshall,2008,1.17
48,Marshall,2009,2.34
48,Marshall,2010,0.78
48,Marshall,2011,0.78
48,Marshall,2012,1.95
49,Mayes,2007,2.67
49,Mayes,2008,3.44
49,Mayes,2009,2.86
49,Mayes,2010,2.1
49,Mayes,2011,2.1
49,Mayes,2012,1.91
50,Murray,2007,3
50,Murray,2008,1.5
50,Murray,2009,1.5
50,Murray,2010,3
50,Murray,2011,3
50,Murray,2012,5.99
51,Muskogee,2007,2.62
51,Muskogee,2008,3.28
51,Muskogee,2009,1.75
51,Muskogee,2010,1.31
51,Muskogee,2011,2.4
51,Muskogee,2012,2.18
52,Noble,2007,4.41
52,Noble,2008,2.65
52,Noble,2009,1.77
52,Noble,2010,2.65
52,Noble,2011,0.88
52,Noble,2012,2.65
53,Nowata,2007,1.76
53,Nowata,2008,0.88
53,Nowata,2009,1.76
53,Nowata,2010,1.76
53,Nowata,2011,2.64
53,Nowata,2012,3.51
54,Okfuskee,2007,3.59
54,Okfuskee,2008,3.08
54,Okfuskee,2009,3.08
54,Okfuskee,2010,2.05
54,Okfuskee,2011,5.64
54,Okfuskee,2012,7.69
55,Oklahoma,2007,2.94
55,Oklahoma,2008,2.74
55,Oklahoma,2009,2.64
55,Oklahoma,2010,2.74
55,Oklahoma,2011,3
55,Oklahoma,2012,3.72
56,Okmulgee,2007,4.06
56,Okmulgee,2008,2.9
56,Okmulgee,2009,4.06
56,Okmulgee,2010,5.8
56,Okmulgee,2011,4.06
56,Okmulgee,2012,6.96
57,Osage,2007,2.24
57,Osage,2008,2.42
57,Osage,2009,1.73
57,Osage,2010,1.9
57,Osage,2011,1.9
57,Osage,2012,2.94
58,Ottawa,2007,2.14
58,Ottawa,2008,1.07
58,Ottawa,2009,0.21
58,Ottawa,2010,1.71
58,Ottawa,2011,1.28
58,Ottawa,2012,1.5
59,Pawnee,2007,2.91
59,Pawnee,2008,2.08
59,Pawnee,2009,1.66
59,Pawnee,2010,1.66
59,Pawnee,2011,2.08
59,Pawnee,2012,1.66
60,Payne,2007,1.95
60,Payne,2008,1.11
60,Payne,2009,2.64
60,Payne,2010,0.83
60,Payne,2011,1.67
60,Payne,2012,2.22
61,Pittsburg,2007,2.73
61,Pittsburg,2008,1.45
61,Pittsburg,2009,2.18
61,Pittsburg,2010,2.55
61,Pittsburg,2011,2
61,Pittsburg,2012,3.82
62,Pontotoc,2007,5.13
62,Pontotoc,2008,2.05
62,Pontotoc,2009,3.08
62,Pontotoc,2010,2.39
62,Pontotoc,2011,4.79
62,Pontotoc,2012,5.81
63,Pottawatomie,2007,1.67
63,Pottawatomie,2008,4.09
63,Pottawatomie,2009,4.09
63,Pottawatomie,2010,3.64
63,Pottawatomie,2011,3.94
63,Pottawatomie,2012,4.09
64,Pushmataha,2007,3.5
64,Pushmataha,2008,2.34
64,Pushmataha,2009,0.58
64,Pushmataha,2010,2.34
64,Pushmataha,2011,4.09
64,Pushmataha,2012,1.17
65,Roger Mills,2007,
65,Roger Mills,2008,
65,Roger Mills,2009,
65,Roger Mills,2010,
65,Roger Mills,2011,
65,Roger Mills,2012,
66,Rogers,2007,2.49
66,Rogers,2008,3.2
66,Rogers,2009,2.49
66,Rogers,2010,2.61
66,Rogers,2011,2.37
66,Rogers,2012,3.2
67,Seminole,2007,5.37
67,Seminole,2008,3.72
67,Seminole,2009,6.61
67,Seminole,2010,4.13
67,Seminole,2011,4.96
67,Seminole,2012,4.96
68,Sequoyah,2007,0.54
68,Sequoyah,2008,0.36
68,Sequoyah,2009,0.36
68,Sequoyah,2010,0
68,Sequoyah,2011,0.73
68,Sequoyah,2012,0.54
69,Stephens,2007,2.49
69,Stephens,2008,2.9
69,Stephens,2009,3.11
69,Stephens,2010,5.39
69,Stephens,2011,3.32
69,Stephens,2012,4.98
70,Texas,2007,1.01
70,Texas,2008,2.02
70,Texas,2009,0
70,Texas,2010,1.01
70,Texas,2011,2.02
70,Texas,2012,1.01
71,Tillman,2007,
71,Tillman,2008,
71,Tillman,2009,
71,Tillman,2010,
71,Tillman,2011,
71,Tillman,2012,
72,Tulsa,2007,2.94
72,Tulsa,2008,3.28
72,Tulsa,2009,2.94
72,Tulsa,2010,2.78
72,Tulsa,2011,2.61
72,Tulsa,2012,2.84
73,Wagoner,2007,2.69
73,Wagoner,2008,1.08
73,Wagoner,2009,1.4
73,Wagoner,2010,1.62
73,Wagoner,2011,2.37
73,Wagoner,2012,1.94
74,Washington,2007,3.75
74,Washington,2008,3.31
74,Washington,2009,5.29
74,Washington,2010,3.31
74,Washington,2011,2.2
74,Washington,2012,3.31
75,Washita,2007,1.19
75,Washita,2008,4.78
75,Washita,2009,4.78
75,Washita,2010,4.78
75,Washita,2011,1.19
75,Washita,2012,10.75
76,Woods,2007,3.69
76,Woods,2008,1.85
76,Woods,2009,1.85
76,Woods,2010,5.54
76,Woods,2011,1.85
76,Woods,2012,0
77,Woodward,2007,2.74
77,Woodward,2008,3.65
77,Woodward,2009,1.37
77,Woodward,2010,3.65
77,Woodward,2011,5.94
77,Woodward,2012,2.74
