"CountyID","CountyName","ReferralYear","Rate","LabelLongitude","LabelLatitude","RateRank"
76,"Woods",2009,1.85,-98.8729461327617,36.7708675261212,152.5
77,"Woodward",2009,1.37,-99.260005758032,36.416401211778,98
1,"Adair",2010,2.42,-94.6641458915974,35.9069668367649,232
2,"Alfalfa",2010,1.36,-98.32320857933,36.7309255630188,96.5
3,"Atoka",2010,0,-96.0420499703509,34.3809870625568,14
4,"Beaver",2010,NA,-100.474745176143,36.7458468405142,448
5,"Beckham",2010,3.9,-99.686661710574,35.2696357540839,353
6,"Blaine",2010,3.25,-98.4243959224942,35.8688113906142,313.5
7,"Bryan",2010,1.79,-96.2558008293072,33.9616831096468,148
8,"Caddo",2010,2.48,-98.3718783669626,35.177793720151,236
9,"Canadian",2010,1.76,-97.9753768794938,35.5340567548489,143
10,"Carter",2010,3.44,-97.2729492125733,34.2546712262712,331
11,"Cherokee",2010,2.09,-95.0103824561735,35.9355360744063,186
12,"Choctaw",2010,2.77,-95.5473573813567,34.0538123875066,275
13,"Cimarron",2010,0,-102.512063683289,36.7373650133402,14
14,"Cleveland",2010,2,-97.3299363042633,35.2012061949784,175
15,"Coal",2010,1.7,-96.2861224539074,34.5953455038142,134
16,"Comanche",2010,2.69,-98.4691943985634,34.6655369286933,265.5
17,"Cotton",2010,1.34,-98.368786919333,34.2918378918678,93
18,"Craig",2010,3.55,-95.2160886407782,36.7853186104569,338.5
19,"Creek",2010,4.57,-96.3651747616148,35.8984115595445,378
20,"Custer",2010,4,-98.9947255933091,35.6355925726426,356
21,"Delaware",2010,1.2,-94.8114064665649,36.4330750413896,87
22,"Dewey",2010,0,-99.0026276338638,35.9860641060811,14
23,"Ellis",2010,2.17,-99.7541920843861,36.2085544939542,205.5
24,"Garfield",2010,2.66,-97.7785191348422,36.3678657387894,260.5
25,"Garvin",2010,1.85,-97.3023768608149,34.7103145563251,152.5
26,"Grady",2010,3.63,-97.8800824410339,35.0140335742845,341
27,"Grant",2010,0,-97.7845052708135,36.7906959570334,14
28,"Greer",2010,5.99,-99.5593444200064,34.9427664878966,416
29,"Harmon",2010,NA,-99.8462629867067,34.7474029014696,449
30,"Harper",2010,NA,-99.6718629310338,36.7775045477641,450
31,"Haskell",2010,1.02,-95.1194074966018,35.2553093637869,70
32,"Hughes",2010,4.31,-96.2384521145052,35.0526183366767,369
33,"Jackson",2010,2.21,-99.4153765114804,34.5917941766762,213.5
34,"Jefferson",2010,5.04,-97.8233420069576,34.1110896977992,395
35,"Johnston",2010,2.81,-96.6493986247792,34.3187259845145,279.5
36,"Kay",2010,1.35,-97.1487308209393,36.8197603838225,94.5
37,"Kingfisher",2010,1.1,-97.9367093480735,35.934131116842,79
38,"Kiowa",2010,0.98,-98.9722460102744,34.9187670789366,64.5
39,"Latimer",2010,1.4,-95.2557710119632,34.9067885471894,101
40,"Le Flore",2010,0.14,-94.7111774971803,34.9299511687652,28
41,"Lincoln",2010,2.97,-96.8794645451841,35.69193772589,293.5
42,"Logan",2010,1.3,-97.4379547025155,35.9055803786812,90.5
43,"Love",2010,1.05,-97.2337960481928,34.0006399600389,73
47,"Major",2010,0,-98.524560069483,36.3106916876361,14
48,"Marshall",2010,0.78,-96.7563551232226,34.0264118585759,57.5
49,"Mayes",2010,2.1,-95.2377239906663,36.3337424158728,191.5
44,"McClain",2010,4.83,-97.4331745941108,35.0031201393918,387
45,"McCurtain",2010,0.28,-94.7840344331028,34.1452341840507,30.5
46,"McIntosh",2010,2.32,-95.6644800921539,35.398840067242,222
50,"Murray",2010,3,-97.0572913816591,34.4888457946869,297.5
51,"Muskogee",2010,1.31,-95.3855658011359,35.6427027662025,92
52,"Noble",2010,2.65,-97.2279763724569,36.3855065817112,256.5
53,"Nowata",2010,1.76,-95.6260913238725,36.8198423472456,143
54,"Okfuskee",2010,2.05,-96.3097295106855,35.4641810903221,181
55,"Oklahoma",2010,2.74,-97.4049770992058,35.5394523331614,271.5
56,"Okmulgee",2010,5.8,-95.9607718994239,35.6570209142237,409
57,"Osage",2010,1.9,-96.4045798127983,36.634052844886,160
58,"Ottawa",2010,1.71,-94.8180540321859,36.8552992868479,136
59,"Pawnee",2010,1.66,-96.6990049468818,36.3168088803122,125.5
60,"Payne",2010,0.83,-96.9751478239377,36.0693458141458,59
61,"Pittsburg",2010,2.55,-95.7439797251411,34.9488015969789,244
62,"Pontotoc",2010,2.39,-96.674562329413,34.7307576005793,229
63,"Pottawatomie",2010,3.64,-96.9445206954569,35.3015638806384,342
64,"Pushmataha",2010,2.34,-95.3842741209906,34.4497873058268,224.5
65,"Roger Mills",2010,NA,-99.6999273109391,35.6831343827393,451
66,"Rogers",2010,2.61,-95.6121330018314,36.3979046759883,247.5
67,"Seminole",2010,4.13,-96.6001413613621,35.1681506005071,368
68,"Sequoyah",2010,0,-94.760490800755,35.5205440172208,14
69,"Stephens",2010,5.39,-97.8463715950095,34.4843230918468,401
70,"Texas",2010,1.01,-101.477803361668,36.7450721534074,67
71,"Tillman",2010,NA,-98.921205231615,34.3753490926514,452
72,"Tulsa",2010,2.78,-95.9428049690609,36.1338366907781,276
73,"Wagoner",2010,1.62,-95.5384179113774,35.9858739766272,121.5
74,"Washington",2010,3.31,-95.9132782566878,36.7270298442834,318.5
75,"Washita",2010,4.78,-98.9917075036666,35.2907305029854,384
76,"Woods",2010,5.54,-98.8729461327617,36.7708675261212,403
77,"Woodward",2010,3.65,-99.260005758032,36.416401211778,343.5
1,"Adair",2011,2.69,-94.6641458915974,35.9069668367649,265.5
2,"Alfalfa",2011,0,-98.32320857933,36.7309255630188,14
3,"Atoka",2011,2.12,-96.0420499703509,34.3809870625568,199.5
4,"Beaver",2011,NA,-100.474745176143,36.7458468405142,453
5,"Beckham",2011,3.12,-99.686661710574,35.2696357540839,307.5
6,"Blaine",2011,4.88,-98.4243959224942,35.8688113906142,390
7,"Bryan",2011,2.14,-96.2558008293072,33.9616831096468,203
8,"Caddo",2011,4.65,-98.3718783669626,35.177793720151,380.5
9,"Canadian",2011,1.68,-97.9753768794938,35.5340567548489,131
10,"Carter",2011,2.83,-97.2729492125733,34.2546712262712,281
11,"Cherokee",2011,2.62,-95.0103824561735,35.9355360744063,249.5
12,"Choctaw",2011,3.46,-95.5473573813567,34.0538123875066,333.5
13,"Cimarron",2011,0,-102.512063683289,36.7373650133402,14
14,"Cleveland",2011,1.95,-97.3299363042633,35.2012061949784,169
15,"Coal",2011,0,-96.2861224539074,34.5953455038142,14
16,"Comanche",2011,3.12,-98.4691943985634,34.6655369286933,307.5
17,"Cotton",2011,2.67,-98.368786919333,34.2918378918678,262.5
18,"Craig",2011,0.44,-95.2160886407782,36.7853186104569,37
19,"Creek",2011,2.5,-96.3651747616148,35.8984115595445,240.5
20,"Custer",2011,1.6,-98.9947255933091,35.6355925726426,119
21,"Delaware",2011,1.65,-94.8114064665649,36.4330750413896,123
22,"Dewey",2011,0,-99.0026276338638,35.9860641060811,14
23,"Ellis",2011,6.51,-99.7541920843861,36.2085544939542,418.5
24,"Garfield",2011,3.04,-97.7785191348422,36.3678657387894,301
25,"Garvin",2011,2.12,-97.3023768608149,34.7103145563251,199.5
26,"Grady",2011,3.33,-97.8800824410339,35.0140335742845,322.5
27,"Grant",2011,6.69,-97.7845052708135,36.7906959570334,421.5
28,"Greer",2011,1.5,-99.5593444200064,34.9427664878966,109.5
29,"Harmon",2011,NA,-99.8462629867067,34.7474029014696,454
30,"Harper",2011,NA,-99.6718629310338,36.7775045477641,455
31,"Haskell",2011,0,-95.1194074966018,35.2553093637869,14
32,"Hughes",2011,5.75,-96.2384521145052,35.0526183366767,407.5
33,"Jackson",2011,2.76,-99.4153765114804,34.5917941766762,274
34,"Jefferson",2011,1.68,-97.8233420069576,34.1110896977992,131
35,"Johnston",2011,0.7,-96.6493986247792,34.3187259845145,50
36,"Kay",2011,2.1,-97.1487308209393,36.8197603838225,191.5
37,"Kingfisher",2011,2.2,-97.9367093480735,35.934131116842,210
38,"Kiowa",2011,10.78,-98.9722460102744,34.9187670789366,432
39,"Latimer",2011,2.1,-95.2557710119632,34.9067885471894,191.5
40,"Le Flore",2011,0.41,-94.7111774971803,34.9299511687652,36
41,"Lincoln",2011,4.32,-96.8794645451841,35.69193772589,370
42,"Logan",2011,0.74,-97.4379547025155,35.9055803786812,54.5
43,"Love",2011,1.05,-97.2337960481928,34.0006399600389,73
47,"Major",2011,0,-98.524560069483,36.3106916876361,14
48,"Marshall",2011,0.78,-96.7563551232226,34.0264118585759,57.5
49,"Mayes",2011,2.1,-95.2377239906663,36.3337424158728,191.5
44,"McClain",2011,2.6,-97.4331745941108,35.0031201393918,245.5
45,"McCurtain",2011,0.57,-94.7840344331028,34.1452341840507,44
46,"McIntosh",2011,1.74,-95.6644800921539,35.398840067242,138.5
50,"Murray",2011,3,-97.0572913816591,34.4888457946869,297.5
51,"Muskogee",2011,2.4,-95.3855658011359,35.6427027662025,230
52,"Noble",2011,0.88,-97.2279763724569,36.3855065817112,60.5
53,"Nowata",2011,2.64,-95.6260913238725,36.8198423472456,252
54,"Okfuskee",2011,5.64,-96.3097295106855,35.4641810903221,404
55,"Oklahoma",2011,3,-97.4049770992058,35.5394523331614,297.5
56,"Okmulgee",2011,4.06,-95.9607718994239,35.6570209142237,359
57,"Osage",2011,1.9,-96.4045798127983,36.634052844886,160
58,"Ottawa",2011,1.28,-94.8180540321859,36.8552992868479,89
59,"Pawnee",2011,2.08,-96.6990049468818,36.3168088803122,184
60,"Payne",2011,1.67,-96.9751478239377,36.0693458141458,128.5
61,"Pittsburg",2011,2,-95.7439797251411,34.9488015969789,175
62,"Pontotoc",2011,4.79,-96.674562329413,34.7307576005793,386
63,"Pottawatomie",2011,3.94,-96.9445206954569,35.3015638806384,354
64,"Pushmataha",2011,4.09,-95.3842741209906,34.4497873058268,365
65,"Roger Mills",2011,NA,-99.6999273109391,35.6831343827393,456
66,"Rogers",2011,2.37,-95.6121330018314,36.3979046759883,227.5
67,"Seminole",2011,4.96,-96.6001413613621,35.1681506005071,392.5
68,"Sequoyah",2011,0.73,-94.760490800755,35.5205440172208,53
69,"Stephens",2011,3.32,-97.8463715950095,34.4843230918468,321
70,"Texas",2011,2.02,-101.477803361668,36.7450721534074,177.5
71,"Tillman",2011,NA,-98.921205231615,34.3753490926514,457
72,"Tulsa",2011,2.61,-95.9428049690609,36.1338366907781,247.5
73,"Wagoner",2011,2.37,-95.5384179113774,35.9858739766272,227.5
74,"Washington",2011,2.2,-95.9132782566878,36.7270298442834,210
75,"Washita",2011,1.19,-98.9917075036666,35.2907305029854,85.5
76,"Woods",2011,1.85,-98.8729461327617,36.7708675261212,152.5
77,"Woodward",2011,5.94,-99.260005758032,36.416401211778,414
1,"Adair",2012,1.88,-94.6641458915974,35.9069668367649,157
2,"Alfalfa",2012,4.09,-98.32320857933,36.7309255630188,365
3,"Atoka",2012,1.76,-96.0420499703509,34.3809870625568,143
4,"Beaver",2012,NA,-100.474745176143,36.7458468405142,458
5,"Beckham",2012,1.56,-99.686661710574,35.2696357540839,117
6,"Blaine",2012,2.44,-98.4243959224942,35.8688113906142,234.5
7,"Bryan",2012,5.72,-96.2558008293072,33.9616831096468,406
8,"Caddo",2012,4.34,-98.3718783669626,35.177793720151,371
9,"Canadian",2012,2.1,-97.9753768794938,35.5340567548489,191.5
10,"Carter",2012,7.08,-97.2729492125733,34.2546712262712,426
11,"Cherokee",2012,3.14,-95.0103824561735,35.9355360744063,309
12,"Choctaw",2012,1.39,-95.5473573813567,34.0538123875066,99
13,"Cimarron",2012,4.48,-102.512063683289,36.7373650133402,377
14,"Cleveland",2012,2.05,-97.3299363042633,35.2012061949784,181
15,"Coal",2012,1.7,-96.2861224539074,34.5953455038142,134
16,"Comanche",2012,2.51,-98.4691943985634,34.6655369286933,242
17,"Cotton",2012,0,-98.368786919333,34.2918378918678,14
18,"Craig",2012,3.55,-95.2160886407782,36.7853186104569,338.5
19,"Creek",2012,3.68,-96.3651747616148,35.8984115595445,345
20,"Custer",2012,2.8,-98.9947255933091,35.6355925726426,277.5
21,"Delaware",2012,1.5,-94.8114064665649,36.4330750413896,109.5
22,"Dewey",2012,5.88,-99.0026276338638,35.9860641060811,412
23,"Ellis",2012,0,-99.7541920843861,36.2085544939542,14
24,"Garfield",2012,4.93,-97.7785191348422,36.3678657387894,391
25,"Garvin",2012,2.65,-97.3023768608149,34.7103145563251,256.5
26,"Grady",2012,4.84,-97.8800824410339,35.0140335742845,388
27,"Grant",2012,6.69,-97.7845052708135,36.7906959570334,421.5
28,"Greer",2012,1.5,-99.5593444200064,34.9427664878966,109.5
29,"Harmon",2012,NA,-99.8462629867067,34.7474029014696,459
30,"Harper",2012,NA,-99.6718629310338,36.7775045477641,460
31,"Haskell",2012,1.02,-95.1194074966018,35.2553093637869,70
32,"Hughes",2012,5.75,-96.2384521145052,35.0526183366767,407.5
33,"Jackson",2012,1.66,-99.4153765114804,34.5917941766762,125.5
34,"Jefferson",2012,8.4,-97.8233420069576,34.1110896977992,428.5
35,"Johnston",2012,2.81,-96.6493986247792,34.3187259845145,279.5
36,"Kay",2012,2.1,-97.1487308209393,36.8197603838225,191.5
37,"Kingfisher",2012,4.4,-97.9367093480735,35.934131116842,372.5
38,"Kiowa",2012,6.86,-98.9722460102744,34.9187670789366,424
39,"Latimer",2012,0.7,-95.2557710119632,34.9067885471894,50
40,"Le Flore",2012,0.28,-94.7111774971803,34.9299511687652,30.5
41,"Lincoln",2012,3.78,-96.8794645451841,35.69193772589,351
42,"Logan",2012,2.22,-97.4379547025155,35.9055803786812,217
43,"Love",2012,2.1,-97.2337960481928,34.0006399600389,191.5
47,"Major",2012,0,-98.524560069483,36.3106916876361,14
48,"Marshall",2012,1.95,-96.7563551232226,34.0264118585759,169
49,"Mayes",2012,1.91,-95.2377239906663,36.3337424158728,162
44,"McClain",2012,4.46,-97.4331745941108,35.0031201393918,376
45,"McCurtain",2012,1.42,-94.7840344331028,34.1452341840507,104
46,"McIntosh",2012,2.91,-95.6644800921539,35.398840067242,287
50,"Murray",2012,5.99,-97.0572913816591,34.4888457946869,416
51,"Muskogee",2012,2.18,-95.3855658011359,35.6427027662025,207.5
52,"Noble",2012,2.65,-97.2279763724569,36.3855065817112,256.5
53,"Nowata",2012,3.51,-95.6260913238725,36.8198423472456,337
54,"Okfuskee",2012,7.69,-96.3097295106855,35.4641810903221,427
55,"Oklahoma",2012,3.72,-97.4049770992058,35.5394523331614,347.5
56,"Okmulgee",2012,6.96,-95.9607718994239,35.6570209142237,425
57,"Osage",2012,2.94,-96.4045798127983,36.634052844886,290.5
58,"Ottawa",2012,1.5,-94.8180540321859,36.8552992868479,109.5
59,"Pawnee",2012,1.66,-96.6990049468818,36.3168088803122,125.5
60,"Payne",2012,2.22,-96.9751478239377,36.0693458141458,217
61,"Pittsburg",2012,3.82,-95.7439797251411,34.9488015969789,352
62,"Pontotoc",2012,5.81,-96.674562329413,34.7307576005793,410
63,"Pottawatomie",2012,4.09,-96.9445206954569,35.3015638806384,365
64,"Pushmataha",2012,1.17,-95.3842741209906,34.4497873058268,83
65,"Roger Mills",2012,NA,-99.6999273109391,35.6831343827393,461
66,"Rogers",2012,3.2,-95.6121330018314,36.3979046759883,310.5
67,"Seminole",2012,4.96,-96.6001413613621,35.1681506005071,392.5
68,"Sequoyah",2012,0.54,-94.760490800755,35.5205440172208,38.5
69,"Stephens",2012,4.98,-97.8463715950095,34.4843230918468,394
70,"Texas",2012,1.01,-101.477803361668,36.7450721534074,67
71,"Tillman",2012,NA,-98.921205231615,34.3753490926514,462
72,"Tulsa",2012,2.84,-95.9428049690609,36.1338366907781,282
73,"Wagoner",2012,1.94,-95.5384179113774,35.9858739766272,167
74,"Washington",2012,3.31,-95.9132782566878,36.7270298442834,318.5
75,"Washita",2012,10.75,-98.9917075036666,35.2907305029854,431
76,"Woods",2012,0,-98.8729461327617,36.7708675261212,14
77,"Woodward",2012,2.74,-99.260005758032,36.416401211778,271.5
